0.018	0	0
0	1.850	-253.775501	0
1	1.850	-253.742201	0
2	1.850	-253.708901	0
3	1.850	-253.675601	0
4	1.850	-253.642301	0
5	1.850	-253.609001	0
6	1.850	-253.575701	0
7	1.850	-253.542401	0
8	1.850	-253.509101	0
9	1.850	-253.475801	0
10	1.850	-253.442501	0
11	1.850	-253.409201	0
12	1.850	-253.375901	0
13	1.850	-253.342601	0
14	1.850	-253.309301	0
15	1.850	-253.276001	0
16	1.850	-253.242701	0
17	1.850	-253.209401	0
18	1.850	-253.176101	0
19	1.850	-253.142801	0
20	1.850	-253.109501	0
21	1.850	-253.076201	0
22	1.850	-253.042901	0
23	1.850	-253.009601	0
24	1.850	-252.976301	0
25	1.850	-252.943001	0
26	1.850	-252.909701	0
27	1.850	-252.876401	0
28	1.850	-252.843101	0
29	1.850	-252.809801	0
30	1.850	-252.776501	0
31	1.850	-252.743201	0
32	1.850	-252.709901	0
33	1.850	-252.676601	0
34	1.850	-252.643301	0
35	1.850	-252.610001	0
36	1.850	-252.576701	0
37	1.850	-252.543401	0
38	1.850	-252.510101	0
39	1.850	-252.476801	0
40	1.850	-252.443501	0
41	1.850	-252.410201	0
42	1.850	-252.376901	0
43	1.850	-252.343601	0
44	1.850	-252.310301	0
45	1.850	-252.277001	0
46	1.850	-252.243701	0
47	1.850	-252.210401	0
48	1.850	-252.177101	0
49	1.850	-252.143801	0
50	1.850	-252.110501	0
51	1.850	-252.077201	0
52	1.850	-252.043901	0
53	1.850	-252.010601	0
54	1.850	-251.977301	0
55	1.850	-251.944001	0
56	1.850	-251.910701	0
57	1.850	-251.877401	0
58	1.850	-251.844101	0
59	1.850	-251.810801	0
60	1.850	-251.777501	0
61	1.850	-251.744201	0
62	1.850	-251.710901	0
63	1.850	-251.677601	0
64	1.850	-251.644301	0
65	1.850	-251.611001	0
66	1.850	-251.577701	0
67	1.850	-251.544401	0
68	1.850	-251.511101	0
69	1.850	-251.477801	0
70	1.850	-251.444501	0
71	1.850	-251.411201	0
72	1.850	-251.377901	0
73	1.850	-251.344601	0
74	1.850	-251.311301	0
75	1.850	-251.278001	0
76	1.850	-251.244701	0
77	1.850	-251.211401	0
78	1.850	-251.178101	0
79	1.850	-251.144801	0
80	1.850	-251.111501	0
81	1.850	-251.078201	0
82	1.850	-251.044901	0
83	1.850	-251.011601	0
84	1.850	-250.978301	0
85	1.850	-250.945001	0
86	1.850	-250.911701	0
87	1.850	-250.878401	0
88	1.850	-250.845101	0
89	1.850	-250.811801	0
90	1.850	-250.778501	0
91	1.850	-250.745201	0
92	1.850	-250.711901	0
93	1.850	-250.678601	0
94	1.850	-250.645301	0
95	1.850	-250.612001	0
96	1.850	-250.578701	0
97	1.850	-250.545401	0
98	1.850	-250.512101	0
99	1.850	-250.478801	0
100	1.850	-250.445501	0
101	1.850	-250.412201	0
102	1.850	-250.378901	0
103	1.850	-250.345601	0
104	1.850	-250.312301	0
105	1.850	-250.279001	0
106	1.850	-250.245701	0
107	1.850	-250.212401	0
108	1.850	-250.179101	0
109	1.850	-250.145801	0
110	1.850	-250.112501	0
111	1.850	-250.079201	0
112	1.850	-250.045901	0
113	1.850	-250.012601	0
114	1.850	-249.979301	0
